,Address,AreaName,Price ($),lat,lng,Bakery,Coffee Shop,Breakfast Spot,Yoga Studio,Pub,Spa,Thai Restaurant,Event Space,Restaurant,Italian Restaurant,Distribution Center,Gym / Fitness Center,Food Truck,Theater,Electronics Store,Beer Store,Health Food Store,Dance Studio,Park,Sushi Restaurant,Beer Bar,Bubble Tea Shop,Mexican Restaurant,Creperie,Diner,Ramen Restaurant,General Entertainment,Arts & Crafts Store,Burrito Place,Hobby Shop,Café,Martial Arts Dojo,Indian Restaurant,College Theater,Poke Place,Deli / Bodega,Gym,College Cafeteria,Vegetarian / Vegan Restaurant,Music Venue,Tea Room,Clothing Store,Comic Shop,Plaza,Pizza Place,College Rec Center,Sandwich Place,Hotel,Sporting Goods Shop,Art Gallery,Steakhouse,Japanese Restaurant,Shopping Mall,Burger Joint,Tanning Salon,Fast Food Restaurant,Lounge,Middle Eastern Restaurant,Cosmetics Shop,Lake,Bookstore,Modern European Restaurant,Miscellaneous Shop,Gastropub,New American Restaurant,Ethiopian Restaurant,Furniture / Home Store,Bank,Seafood Restaurant,Poutine Place,Chinese Restaurant,Other Great Outdoors,Hookah Bar,Bar,Dessert Shop,Department Store,Lingerie Store,Movie Theater,Shoe Store,Smoke Shop,Vietnamese Restaurant,Wine Bar,Video Game Store,Greek Restaurant,Church,American Restaurant,BBQ Joint,Ice Cream Shop,Cocktail Bar,Farmers Market,Fountain,Camera Store,Tailor Shop,Grocery Store,French Restaurant,Fish Market,Comfort Food Restaurant,Salon / Barbershop,Irish Pub,Asian Restaurant,Bistro,Pharmacy,Moroccan Restaurant,Belgian Restaurant,Trail,Neighborhood,Cheese Shop,Museum,Concert Hall,Basketball Stadium,Liquor Store,Jazz Club,Molecular Gastronomy Restaurant,Gourmet Shop,Bagel Shop,Hotel Bar,Eastern European Restaurant,Juice Bar,Sports Bar,Soup Place,Art Museum,Discount Store,Donut Shop,Playground,Candy Store,Baby Store,Speakeasy,Gluten-free Restaurant,General Travel,Opera House,Food Court,Monument / Landmark,Salad Place,Colombian Restaurant,Mediterranean Restaurant,Garden,Taco Place,Brazilian Restaurant,Building,Women's Store,Latin American Restaurant,Bus Line,Athletics & Sports,Harbor / Marina,Brewery,Korean Restaurant,Cuban Restaurant,Record Shop,Malay Restaurant,Cupcake Shop,Mac & Cheese Joint,Men's Store,Dog Run,Gift Shop,Music Store,Fruit & Vegetable Store,Train Station,IT Services,Roof Deck,Supermarket,Hawaiian Restaurant,Pet Store,Thrift / Vintage Store,Beach Bar,Chiropractor,Accessories Store,Boutique,Fish & Chips Shop,Board Shop,Food & Drink Shop,Coworking Space,Baseball Field,Performing Arts Venue,Garden Center,Photography Studio,Home Service,Bed & Breakfast,Residential Building (Apartment / Condo),Gym Pool,History Museum,Butcher,Flower Shop,Curling Ice,Optical Shop,Toy / Game Store,Gas Station,Tennis Court,College Gym,College Arts Building,Noodle House,Falafel Restaurant,Smoothie Shop,Indie Movie Theater,Post Office,Pilates Studio,Organic Grocery,Caribbean Restaurant,Gaming Cafe,Doner Restaurant,Light Rail Station,Market,Historic Site,Wings Joint,Fried Chicken Joint,Whisky Bar,Jewelry Store,Taiwanese Restaurant,Library,Convenience Store,Snack Place,Office,Theme Restaurant,Wine Shop,Gay Bar,Sake Bar,Afghan Restaurant,Strip Club,Sculpture Garden
17,"160 Jenkinson Way Toronto, ON",Dorset Park,549900,43.749598999999996,-79.270844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"40 Hawthorne Rd Toronto, ON",Richview,850000,43.692314,-79.552635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"#4905 - 16 Harbour St Toronto, ON",Downtown,1348000,43.642578,-79.3769,10,49,6,1,8,1,8,0,28,7,0,5,2,4,0,0,0,0,4,6,11,1,0,3,1,0,1,0,4,0,37,0,0,0,0,12,13,0,3,0,6,2,0,2,8,0,6,34,6,8,13,14,3,3,0,4,6,0,0,0,3,0,0,9,1,0,0,1,11,0,1,0,0,3,1,2,0,0,0,0,0,5,0,2,0,9,1,0,7,2,2,0,3,2,4,2,2,0,4,3,3,2,2,1,0,1,2,5,6,3,1,1,1,1,1,2,1,1,3,2,0,0,0,0,0,0,4,4,4,0,0,0,9,3,3,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"166 Mcnicoll Ave Toronto, ON",Hillcrest Village,129,43.799479999999996,-79.357445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"430 Military Tr Toronto, ON",Morningside,675000,43.788639,-79.207932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"67 Montressor Dr Toronto, ON",St. Andrew - Windfields,113,43.759003,-79.392075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"46 Bruce Farm Dr Toronto, ON",Bayview Woods - Steeles,49,43.799358000000005,-79.377914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"#1215 - 2627 Mccowan Rd Toronto, ON",Agincourt,49,43.807091,-79.26553299999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"247 Westmount Ave Toronto, ON",St. Clair West Village,25,43.68227,-79.44339000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"31 Yorkshire Rd Toronto, ON",Ionview,499900,43.740097,-79.273987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
